day,date,year,month,day_of_month,day_of_week,is_weekend,ball_1,ball_2,ball_3,ball_4,ball_5,powerball,sum_main_balls,mean_main_balls,min_main_ball,max_main_ball,range_main_balls,odd_count,even_count,is_powerball_even
854,,2024,,,,0,1,3,7,31,38,3,80,16.0,1,38,37,4,1,0
855,,2024,,,,0,12,13,25,37,43,18,130,26.0,12,43,31,4,1,1
856,,2024,,,,0,5,7,13,23,44,11,92,18.4,5,44,39,4,1,0
857,,2024,,,,0,14,22,27,38,46,14,147,29.4,14,46,32,1,4,1
858,,2024,,,,0,32,33,38,45,46,14,194,38.8,32,46,14,2,3,1
859,,2024,,,,0,10,16,29,37,44,16,136,27.2,10,44,34,2,3,1
860,,2024,,,,0,4,8,41,47,50,10,150,30.0,4,50,46,2,3,1
861,,2024,,,,0,22,26,29,33,35,7,145,29.0,22,35,13,3,2,0
862,,2024,,,,0,2,12,27,45,48,16,134,26.8,2,48,46,2,3,1
863,,2024,,,,0,3,6,29,32,44,19,114,22.8,3,44,41,2,3,0
864,,2024,,,,0,1,14,19,29,48,15,111,22.2,1,48,47,3,2,0
865,,2024,,,,0,19,22,23,28,30,11,122,24.4,19,30,11,2,3,0
866,,2024,,,,0,9,24,35,41,46,15,155,31.0,9,46,37,3,2,0
867,,2024,,,,0,16,29,39,42,47,11,173,34.6,16,47,31,3,2,0
868,,2024,,,,0,5,10,15,31,37,9,98,19.6,5,37,32,4,1,0
869,,2024,,,,0,5,11,18,19,21,10,74,14.8,5,21,16,4,1,1
870,,2024,,,,0,9,20,31,36,39,15,135,27.0,9,39,30,3,2,0
871,,2024,,,,0,10,11,16,20,40,13,97,19.4,10,40,30,1,4,0
872,,2024,,,,0,4,16,19,30,49,19,118,23.6,4,49,45,2,3,0
873,,2024,,,,0,1,5,18,22,50,17,96,19.2,1,50,49,2,3,0
874,,2024,,,,0,1,2,18,34,38,9,93,18.6,1,38,37,1,4,0
875,,2024,,,,0,37,40,42,43,48,6,210,42.0,37,48,11,2,3,1
876,,2024,,,,0,14,15,19,30,48,4,126,25.2,14,48,34,2,3,1
877,,2024,,,,0,12,13,24,47,50,14,146,29.2,12,50,38,2,3,1
878,,2024,,,,0,8,32,33,37,46,10,156,31.2,8,46,38,2,3,1
879,,2024,,,,0,10,13,33,37,44,12,137,27.4,10,44,34,3,2,1
880,,2024,,,,0,4,6,16,22,43,13,91,18.2,4,43,39,1,4,0
881,,2024,,,,0,2,19,21,34,47,15,123,24.6,2,47,45,3,2,0
882,,2024,,,,0,9,10,22,40,49,12,130,26.0,9,49,40,2,3,1
883,,2024,,,,0,7,13,14,23,30,14,87,17.4,7,30,23,3,2,1
884,,2024,,,,0,4,15,18,21,28,18,86,17.2,4,28,24,2,3,1
885,,2024,,,,0,15,19,38,43,46,6,161,32.2,15,46,31,3,2,1
886,,2024,,,,0,8,10,32,33,48,13,131,26.2,8,48,40,1,4,0
887,,2024,,,,0,9,26,33,46,48,11,162,32.4,9,48,39,2,3,0
888,,2024,,,,0,25,39,46,47,49,10,206,41.2,25,49,24,4,1,1
889,,2024,,,,0,8,14,29,32,40,7,123,24.6,8,40,32,1,4,0
890,,2024,,,,0,7,10,24,25,30,15,96,19.2,7,30,23,2,3,0
891,,2024,,,,0,2,9,20,25,42,13,98,19.6,2,42,40,2,3,0
892,,2024,,,,0,12,15,20,21,38,10,106,21.2,12,38,26,2,3,1
893,,2024,,,,0,7,18,34,39,42,16,140,28.0,7,42,35,2,3,1
894,,2024,,,,0,3,20,22,23,38,17,106,21.2,3,38,35,2,3,0
895,,2024,,,,0,1,15,21,30,47,4,114,22.8,1,47,46,4,1,1
896,,2024,,,,0,11,15,18,26,39,16,109,21.8,11,39,28,3,2,1
897,,2024,,,,0,5,14,21,34,36,5,110,22.0,5,36,31,2,3,0
898,,2024,,,,0,14,29,38,43,44,9,168,33.6,14,44,30,2,3,0
899,,2024,,,,0,13,15,29,39,41,17,137,27.4,13,41,28,5,0,0
900,,2024,,,,0,7,19,24,30,40,12,120,24.0,7,40,33,2,3,1
901,,2024,,,,0,2,17,24,31,47,11,121,24.2,2,47,45,3,2,0
902,,2024,,,,0,7,34,37,43,46,12,167,33.4,7,46,39,3,2,1
903,,2024,,,,0,11,12,32,34,46,8,135,27.0,11,46,35,1,4,1
904,,2024,,,,0,1,2,11,16,50,18,80,16.0,1,50,49,2,3,1
905,,2024,,,,0,8,11,23,30,45,19,117,23.4,8,45,37,3,2,0
906,,2024,,,,0,9,20,25,45,46,9,145,29.0,9,46,37,3,2,0
907,,2024,,,,0,4,29,33,34,38,13,138,27.6,4,38,34,2,3,0
908,,2024,,,,0,1,4,22,42,45,11,114,22.8,1,45,44,2,3,0
909,,2024,,,,0,19,28,35,36,44,12,162,32.4,19,44,25,2,3,1
910,,2024,,,,0,9,17,32,34,37,12,129,25.8,9,37,28,3,2,1
911,,2024,,,,0,6,13,31,33,46,4,129,25.8,6,46,40,3,2,1
912,,2024,,,,0,8,12,14,18,50,20,102,20.4,8,50,42,0,5,1
913,,2024,,,,0,1,4,14,15,33,15,67,13.4,1,33,32,3,2,0
914,,2024,,,,0,1,4,33,36,41,5,115,23.0,1,41,40,3,2,0
915,,2024,,,,0,7,18,21,31,47,5,124,24.8,7,47,40,4,1,0
916,,2024,,,,0,19,29,31,34,45,17,158,31.6,19,45,26,4,1,0
917,,2024,,,,0,8,10,19,28,32,15,97,19.4,8,32,24,1,4,0
918,,2024,,,,0,9,14,18,28,30,18,99,19.8,9,30,21,1,4,1
919,,2024,,,,0,2,17,29,30,36,2,114,22.8,2,36,34,2,3,1
